webshop_name|brand|pc
Farfetch|Dsquared2|80
Saks Fifth Avenue|James Perse|80
Sears|Fits Sock Co|80
Urban Outfitters|Patagonia|79
Sears|Tie-Dye|79
Asos|Ucla|79
Shopbop|Zoe Karssen|78
Asos|Cheap Monday|78
Bloomingdale's|Under Armour|78
Nordstrom_SS|Patagonia|78
Neiman Marcus|Helmut Lang|77
Dillard's|Westbound|77
Bloomingdale's_SS|Nike|77
American Eagle|Aerie|76
Kohls|New Balance|76
Nordstrom|Quiksilver Waterman Collection|76
Farfetch|Zoe Karssen|76
Nordstrom|Victorinox Swiss Army®|76
Kohls|Kohl'S|76
Nordstrom_SS|Hard Tail|76
Asos|Brave Soul|75
Net-A-Porter|Adidas By Stella Mccartney|75
Bloomingdale's|Nike|75
Nordstrom|Burberry Brit|75
Farfetch|Nsf|75
Six:02|Moving Comfort|75
Asos|Marie Meili|74
Six:02|Soybu|74
carbon38|Koral Activewear|73
Asos|Abercrombie & Fitch|73
Nordstrom|Bugatchi|73
Nordstrom|John Varvatos Star Usa|73
Farfetch|Markus Lupfer|73
Saks Fifth Avenue|Zara Terez|72
Six:02|Champion|72
Asos|Wood Wood|71
Macy's|Nautica|71
Farfetch|Kokon To Zai|71
Bloomingdale's_SS|Aqua|71
Farfetch|Thom Browne|71
Farfetch|Haider Ackermann|70
carbon38|Vimmia|70
Sears|Tie-Dyes|70
Macy's|Greg Norman|70
Neiman Marcus|Lafayette 148 New York|70
Myntra|2go Active Gear Usa|69
Bloomingdale's|Lauren Ralph Lauren|69
Sears|Yieldongreen|69
Nordstrom|Solow|69
Sears|Signals|68
Nordstrom|Jack O'Neill|68
Farfetch|Balmain|68
Nordstrom|Spiritual Gangster|68
Farfetch|Puma|68
Macy's|Guess|67
Nordstrom|Marc New York By Andrew Marc|67
carbon38|Onzie|67
Sears|Puma|67
Nordstrom_SS|Topman|67
Asos|American Apparel|67
Nordstrom|Prana|66
carbon38|Alo Yoga|66
Urban Outfitters|Chums|66
Urban Outfitters|The North Face|66
Kohls|Champion|66
Sears|Nordictrack|65
Adidas|Adidas Neo Label|64
Net-A-Porter|Lucas Hugh|64
Farfetch|Givenchy|64
Sports Authority|Hurley|64
Nordstrom|Quiksilver|64
Farfetch|Vince|64
Farfetch|Sacai|64
Asos|Shock Absorber|63
Sports Authority|Salt Life|63
Sears|J America|63
Farfetch|Humanoid|63
Neiman Marcus|Derek Lam|63
Farfetch|Etro|62
Farfetch|Theory|62
Nordstrom|Vince|62
JCPenney|Olsenboye|61
Nordstrom|Bench|61
Asos|True Religion|61
Nordstrom|Theory|61
Sports Authority|Oakley|61
Farfetch|Polo Ralph Lauren|61
Neiman Marcus|Neiman Marcus|61
Nordstrom|Volcom|60
Farfetch|Marc By Marc Jacobs|60
Net-A-Porter|Monreal London|60
Farfetch|Ami|60
Saks Fifth Avenue|Theory|60
Kohls|Zeroxposur|59
Asos|Carhartt|59
Farfetch|P.A.R.O.S.H.|59
Farfetch|Michael Michael Kors|59
Asos|Mhi|59
Bloomingdale's|Ralph Lauren|58
carbon38|The Upside|58
JCPenney|Flirtitude|58
Sears|Nawtyfox|58
Bloomingdale's_SS|Marc By Marc Jacobs|58
Dillard's|Roundtree & Yorke|58
Farfetch|Stussy|58
Saks Fifth Avenue|Marc By Marc Jacobs|58
Shopbop|Splendid|58
Urban Outfitters|Newline|57
Farfetch|Michi|57
Nordstrom|Ted Baker London|57
Walmart|Bad Boy|56
Nordstrom|Gramicci|56
Kohls|Asics|56
Nordstrom|Arc'Teryx|56
Farfetch|Missoni|56
Lord & Taylor|Black Brown 1826|56
Target|Circo™|56
Kohls|So|55
Neiman Marcus|Michael Michael Kors|55
Sears|Bad Boy|55
Nordstrom|Betsey Johnson|55
Sears|Orca|55
Sports Authority|Warrior|55
Farfetch|Alexander Mcqueen|55
Bloomingdale's|Polo Ralph|54
Dillard's|Lauren Ralph Lauren|54
Bloomingdale's|Alternative|54
Lord & Taylor|Michael Michael Kors|54
Lord & Taylor|Nike|54
Target|Tulah|54
Saks Fifth Avenue|Robert Rodriguez|54
Sears|Gildan Tie Dye|54
Asos|Blood Brother|54
Lord & Taylor|Wacoal|54
Lord & Taylor|Jones New York|54
Target|Bkc|54
Farfetch|Opening Ceremony|53
Asos|A Question Of|53
Farfetch|Societe Anonyme|53
Farfetch|Publish|53
Macy's|O'Neill|53
Nordstrom|Travis Mathew|53
Macy's|Calvin Klein Mens|53
Asos|New Era|53
Nordstrom|Bpm Fueled By Zella|53
Sears|2xu|52
Sears|Sears|52
Sears|Star Trek|52
Nordstrom|Beyond Yoga|52
Sears|Devon & Jones Blue|52
Farfetch|Ashish|52
Sports Authority|Merrell|52
Nordstrom|Boss|51
Asos|Lna|51
JCPenney|L Amour By Nanette Lepore|51
Asos|French Connection|51
Sears|Harvard Square|51
Walmart|Forza Boxing Llc|51
Bloomingdale's_SS|Wildfox Couture|50
Ralph Lauren|Polo Sport|50
Saks Fifth Avenue|Peserico|50
carbon38|Michi|50
JCPenney|Xoxo|50
Farfetch|Current/Elliott|50
Saks Fifth Avenue|Diesel|50
Nordstrom_SS|James Perse|50
Nordstrom|Canada Goose|49
Asos|Esprit|49
Sears|Econscious|49
Bloomingdale's|Onzie|49
